2.68,4.58
4.57,4.45
4.10,4.18
4.41,2.39
4.09,4.29
4.63,4.62
4.47,4.36
4.54,4.39
4.13,2.32
4.63,4.19
4.17,2.30
2.47,2.44
2.29,2.24
4.54,4.28
4.49,4.41
4.66,4.22
4.42,2.30
2.63,2.61
2.62,2.35
4.64,4.15
4.41,2.23
2.31,2.23
2.23,2.26
2.29,2.45
2.21,2.20
4.52,4.46
4.58,4.34
4.36,4.66
4.58,4.47
2.24,2.34
4.06,4.22
4.38,2.41
2.26,2.31
4.40,4.46
4.12,2.32
4.22,4.05
2.45,2.27
4.09,4.51
4.29,4.41
4.43,4.66
4.58,4.48
2.47,2.48
4.48,4.65
4.64,4.50
4.62,4.55
4.45,4.38
4.09,2.35
2.43,2.44
2.37,2.41
4.59,4.56
4.33,4.08
2.53,2.47
4.42,2.24
2.34,2.32
2.23,2.43
2.35,2.39
2.23,2.30
4.23,4.39
4.62,4.52
4.56,4.57
4.13,2.31
2.24,2.39
2.34,2.28
4.32,4.56
4.16,2.38
4.58,4.42
4.43,4.44
4.61,4.54
4.60,4.25
4.35,4.47
4.22,4.56
4.32,4.16
4.18,2.36
4.47,4.49
4.15,2.36
4.43,2.31
2.44,2.46
4.20,4.40
4.47,4.60
2.29,2.43
4.11,2.38
2.47,2.39
2.38,2.34
2.32,2.25
4.42,4.46
4.13,2.34
